帖子编号,固定链接,发布消息,类型,国家/地区,语言,发了帖子,受众定位,广告发布期间帖子总覆盖人数,广告发布期间帖子自然覆盖人数,广告发布期间帖子付费覆盖人数,广告发布期间帖子总展示次数,广告发布期间帖子自然展示次数,广告发布期间帖子付费展示次数,广告发布期间互动用户人数,广告发布期间帖子消费者人数,广告发布期间帖子使用量,广告发布期间的负面反馈,广告发布期间用户负面反馈次数,广告发布期间帖子对赞主页用户的展示次数,广告发布期间帖子覆盖人数（按赞主页的用户）,广告发布期间帖子对赞主页用户的展示次数,广告发布期间帖子对赞主页用户的付费覆盖人数,广告发布期间赞主页和与帖子互动的用户人数,"广告发布期间 95% 自然观看量","广告发布期间 95% 自然观看量","广告发布期间 95% 视频付费观看量","广告发布期间 95% 视频付费观看量",广告发布期间视频自然观看量,广告发布期间视频自然观看量,广告发布期间视频付费观看量,广告发布期间视频付费观看量,广告发布期间的视频平均观看时间,视频总时长,"广告发布期间（帖子）谈论次数（按操作类型） - share","广告发布期间（帖子）谈论次数（按操作类型） - like","广告发布期间（帖子）谈论次数（按操作类型） - comment","广告发布期间的帖子动态（按操作类型） - share","广告发布期间的帖子动态（按操作类型） - like","广告发布期间的帖子动态（按操作类型） - comment","广告发布期间帖子消费者（按类型） - other clicks","广告发布期间帖子消费者（按类型） - photo view","广告发布期间帖子消费者（按类型） - video play","广告发布期间帖子消费者（按类型） - link clicks","广告发布期间帖子使用量 - 按类型 - other clicks","广告发布期间帖子使用量 - 按类型 - photo view","广告发布期间帖子使用量 - 按类型 - video play","广告发布期间帖子使用量 - 按类型 - link clicks","广告发布期间用户负面反馈次数 - 按类型 - hide_clicks","广告发布期间用户负面反馈次数 - 按类型 - hide_all_clicks","广告发布期间用户负面反馈次数 - 按类型 - unlike_page_clicks","广告发布期间用户负面反馈次数 - 按类型 - report_spam_clicks","广告发布期间的负面反馈 - hide_clicks","广告发布期间的负面反馈 - hide_all_clicks","广告发布期间的负面反馈 - unlike_page_clicks","广告发布期间的负面反馈 - report_spam_clicks"
,,,,,,,,广告发布期间：主页帖子展示的用户总人数（独立用户）。,广告发布期间：在动态消息、快讯或你的时间线上看过你主页帖子的用户人数（独立用户）。,广告发布期间：主页推广帖展示的用户人数（独立用户）。,广告发布期间：主页帖子的展示次数（总次数）。,广告发布期间：帖子在动态消息、快讯或主页时间线中的展示次数（总次数）。,广告发布期间：你的主页帖子在广告或动态赞助中的展示次数（总次数）。,广告发布期间：以特定方式和主页帖互动的独立用户人数，例如：评论、点赞、分享或点击特定帖子元素。（独立用户）,广告发布期间：在帖子内任意位置点击的用户人数（独立用户）。,广告发布期间：帖子内任意位置的点击量（总数）。,广告发布期间：用户给帖子负面反馈的次数（独立用户）。,广告发布期间：用户给你帖子负面反馈的次数（总次数）。,广告发布期间：主页帖子对赞主页用户的展示次数（总次数）。,广告发布期间：用户因赞主页而浏览你主页的次数（独立用户）,广告发布期间：主页帖子对赞主页用户的付费展示次数（总次数）。,广告发布期间：在广告或动态赞助中赞主页和浏览主页帖子的用户人数（独立用户）。,广告发布期间：赞你主页，并在帖子任意位置点击的用户人数（独立用户）。,"广告发布期间：你的视频在未作付费推广的情况下被观看至 95% 的次数（独立用户）。","广告发布期间：你的视频在未作付费推广的情况下被观看至 95% 的次数（总次数）。","广告发布期间：视频在经过付费推广后被观看至 95% 的次数（独立用户）。","广告发布期间：视频在经过付费推广后被观看到 95% 的次数（总次数）。","广告发布期间：你的视频在未作付费推广的情况下被观看超过 3 秒的次数（独立用户）。","广告发布期间：你的视频在未作付费推广的情况下被观看超过 3 秒的次数（总数）。","广告发布期间：视频在经过付费推广后被观看超过 3 秒的次数（独立用户）。","广告发布期间：视频在经过付费推广后被观看超过 3 秒的次数（总次数）。",广告发布期间：视频观看平均时间（总数）,总时长：视频帖时长（总计）,广告发布期间：独立用户创建动态与你的主页帖子互动的次数。,,,广告发布期间：按操作类型划分，围绕主页帖子创建的动态总量。,,,广告发布期间：用户点击帖子内任何位置的次数（独立用户，按类型）。,,,,广告发布期间：帖子内任意位置的点击量（总次数，按类型）。,,,,广告发布期间：用户给帖子负面反馈的次数（总次数，按类型）。,,,,广告发布期间：用户给你帖子的负面反馈次数（独立用户，按类型）。,,,
169799706487474_1248962298571204,https://www.facebook.com/CGTNFrancais/posts/1248962298571204,"Ingvar Kamprad, fondateur d' #Ikea, est mort à 91 ans.

Entrepreneur hors pair au passé controversé, le multimilliardaire suédois Ingvar Kamprad, fondateur du numéro un mondial de l'ameublement Ikea, est mort à 91 ans, a annoncé dimanche la branche suédoise du groupe sur son compte Twitter.

Son empire emploie aujourd'hui 190.000 personnes dans le monde et génère un chiffre d'affaires annuel de 38 milliards d'euros.

&quot;Ingvar Kamprad est parti calmement chez lui dans le Småland (sud du pays). Il était né en 1926 dans le Småland et avait fondé Ikea à 17 ans&quot;, a rappelé Ikea Suède.

&quot;C'était un entrepreneur unique qui a eu une grande importance pour l'économie suédoise&quot;, a réagi le Premier ministre suédois Stefan Löfvén auprès de l'agence suédoise TT.

Fils de paysans, Kamprad est devenu l'un des hommes les plus riches du monde en proposant des meubles originaux prêts à monter et pas chers.

Résidant en Suisse entre 1977 et 2014, il s'était mis en retrait depuis quelques années, laissant la place à ses trois fils.

Entre ses sympathies pronazies dans ses années de jeunesse avant-guerre et sa détestation du fisc suédois, l'homme, réputé pour sa pingrerie, détonait dans le pays scandinave champion de l'Etat-providence et de l'égalitarisme. (avec AFP / Photos AFP)",Photo,,,"01/28/2018 05:50:13 PM"," ",8970,8947,0,13267,13261,0,151,86,97,1,1,13149,8846,0,0,150,0,0,0,0,0,0,0,0,0,0,2,73,5,2,77,5,64,27,,,69,28,,,1,,,,1,,,
169799706487474_1248948225239278,https://www.facebook.com/CGTNFrancais/posts/1248948225239278,"La question de Jérusalem devrait être réglée par des pourparlers directs (roi de Jordanie) 

Le roi Abdallah II de #Jordanie a déclaré dimanche que la question de #Jérusalem devrait être réglée par des pourparlers directs et faire partie d'une solution durable entre Palestiniens et Israéliens, a rapporté l'agence de presse Petra.

Le roi jordanien a tenu ces propos lors d'une réunion avec le président allemand Frank-Walter Steinmeier à Amman, où le souverain a déclaré que la solution devrait conduire à la création d'un Etat palestinien indépendant avec Jérusalem-Est comme sa capitale.

Le roi Abdallah II a réitéré le soutien de la Jordanie à la solution à deux États, considérée comme le seul moyen pouvant mettre fin aux conflits.",Photo,,,"01/28/2018 05:22:48 PM"," ",10617,10581,0,17221,17172,0,235,117,138,0,0,17365,10514,0,0,230,0,0,0,0,0,0,0,0,0,0,4,119,2,4,124,2,88,35,,,101,37,,,,,,,,,,
169799706487474_1248397145294386,https://www.facebook.com/CGTNFrancais/videos/1248397145294386/,"Protéger les éléphants d'Afrique du Sud 

En Afrique du Sud, le phénomène du braconnage connaît un regain qui inquiète les autorités locales. De plus en plus d'éléphants sont tués chaque année et le gouvernement cherche des solutions pour mettre fin à ce fléau.",Video,,,"01/28/2018 02:30:00 PM"," ",10194,10193,0,17533,17525,0,669,612,1076,1,1,17016,9734,0,0,623,43,45,0,0,1229,1253,0,0,7393,116585,2,81,,2,81,,583,1,384,,681,1,394,,1,,,,1,,,
169799706487474_1248280941972673,https://www.facebook.com/CGTNFrancais/videos/1248280941972673/,"Scènes hivernales spectaculaires à travers la Chine

La neige a déjà été un luxe pour le sud de la Chine, mais pas cette année. Beaucoup de villes y apprécient la beauté rarement vue, de la neige. Et son effet sur le paysage agit sur les villes, mais aussi sur la nature. Jetons un coup d'oeil à certaines de ces régions enneigées à travers la Chine qui offrent des scènes belles, à en couper le souffle. #BelleChine",Video,,,"01/28/2018 12:30:00 PM"," ",15444,15385,0,27511,27447,0,692,638,1057,4,4,26517,14655,0,0,649,62,62,0,0,1535,1614,0,0,6561,119827,7,90,,8,96,,596,12,355,,671,12,374,,2,2,,,2,2,,
169799706487474_1248254221975345,https://www.facebook.com/CGTNFrancais/posts/1248254221975345,"Crue de la #Seine : Paris se mobilise pour limiter les dégâts 

#Paris s'organise face à la montée des eaux de la Seine dont le pic de crue pourrait atteindre les 6 m de haut ce week-end selon Vigicrues, service d'information sur le risque de crues, soit un peu moins que la crue de 2016 (6,10m).

Les autorités locales, la mairie de Paris et la préfecture de police ont pris les devants pour limiter les conséquences d'un éventuel débordement de la Seine qui pourrait causer d'énormes dégâts comme ce fut le cas en 2016. La mairie a ainsi interdit d'accès à certaines voies et établissements et inviter les Parisiens à la vigilance.

&quot;Nous avons fermé à la circulation quelques rues et voies. Nous avons également fermé les équipements publics qui sont à proximité immédiate des berges de Seine&quot;, a expliqué sur #France info l'adjointe au maire de Paris en charge de la sécurité, Colombe Brossel.",Photo,,,"01/28/2018 11:00:00 AM"," ",72746,71897,0,123088,121825,0,2875,1969,2414,6,6,120396,71402,0,0,2792,0,0,0,0,0,0,0,0,0,0,92,1018,15,95,1021,18,657,1483,,,819,1595,,,3,3,,,3,3,,
169799706487474_1248358971964870,https://www.facebook.com/CGTNFrancais/posts/1248358971964870,"5e anniversaire du premier vol d’essai du Y-20

Le 26 janvier de cette année marque le 5e anniversaire du premier vol d’essai du Y-20, le plus grand avion de transport militaire fabriqué en Chine. Cet appareil peut transporter des véhicules militaires de combat et des véhicules d’appoint, y compris des tanks; il a une capacité de transport d’une charge allant jusqu'à 66 tonnes. C'est le plus gros avion chinois de transport militaire produit par la Chine.",Photo,,,"01/28/2018 10:00:00 AM"," ",105054,102330,0,178603,173814,0,5172,3532,4313,5,5,172420,101144,0,0,4869,0,0,0,0,0,0,0,0,0,0,125,1762,35,129,1762,42,1476,2414,,,1754,2564,,,3,2,,,3,2,,
169799706487474_1248257491975018,https://www.facebook.com/CGTNFrancais/posts/1248257491975018,"L’homme le plus grand et la femme la plus petite du monde se rencontrent en Egypte pour une séance photo étonnante

Sultan Kösen, qui vient de la Turquie, détient le record de l’homme le plus grand du monde avec une taille de 246.5 cm, tandis que l’indienne Jyoti Amge détient le titre Guinness pour la femme la plus petite du monde avec seulement une taille de 62,8 cm.

La séance photo a donné des résultats incroyables car leur différence de taille est devenue encore plus étonnante de près. Sur l’une des photos, Amge semblait à peine plus grande que le pied de Kösen.",Photo,,,"01/28/2018 09:00:01 AM"," ",243410,222408,0,394874,361415,0,20821,17199,22340,16,18,361211,221271,0,0,18827,0,0,0,0,0,0,0,0,0,0,580,4301,61,606,4301,67,6080,13544,,,7644,14696,,,13,5,,,11,5,,
169799706487474_1248344725299628,https://www.facebook.com/CGTNFrancais/posts/1248344725299628,"Trois-en-une : apparition d'une rarissime « super lune de sang bleue » le 31 janvier

Un spectacle qu'on ne voit qu'« une fois dans une vie » aura lieu le 31 janvier, et il sera visible dans la partie ouest de l'Amérique du Nord, en Alaska et dans les îles hawaïennes.

Surnommé « super lune de sang bleue », cet événement céleste sera spécial pour les raisons suivantes :

Premièrement, ce sera la troisième d'une série de « super lunes », un événement qui se produit quand la lune est plus proche de la terre. Le phénomène sera également la deuxième pleine lune du mois, ce qu'on appelle communément une « lune bleue ». Ensuite, cette lune bleue se déplacera à travers l'ombre de la Terre, créant une éclipse lunaire totale dans certaines régions. Dans le même temps, comme l'a souligné la #NASA, la Lune prendra également une teinte rougeâtre, d'où son nom de « lune de sang ».

Plus important encore, cela fait environ 150 ans que ces trois événements ne se sont pas déroulés le même jour.",Photo,,,"01/28/2018 08:00:01 AM"," ",77898,76541,0,137709,135384,0,2531,1679,2024,8,8,134213,75591,0,0,2474,0,0,0,0,0,0,0,0,0,0,108,966,8,109,974,8,726,1069,,,854,1170,,,4,4,,,4,4,,
169799706487474_1248274378639996,https://www.facebook.com/CGTNFrancais/posts/1248274378639996,"Commémoration du 73e anniversaire de la libération des camps d'#Auschwitz

Chaque année, le 27 janvier, l’#UNESCO rend hommage à la mémoire des victimes de l'#Holocauste et réaffirme son engagement contre l'#antisémitisme, le #racisme et toutes les autres formes d'intolérance qui peuvent conduire à une violence collective ciblée. Le 27 janvier est la date anniversaire de la libération du camp de concentration et d'extermination allemand nazi d'Auschwitz-Birkenau par les troupes soviétiques en 1945. Cette date a été officiellement choisie comme Journée internationale dédiée à la mémoire des victimes de l'Holocauste par l'Assemblée générale des Nations Unies. Cette année, la Journée internationale est placée sous le thème “Éduquer pour un avenir meilleur : le rôle des sites historiques et des musées dans l'enseignement de l'Holocauste”.",Photo,,,"01/28/2018 07:00:00 AM"," ",35044,34982,0,65565,65506,0,631,426,503,3,6,64712,34445,0,0,615,0,0,0,0,0,0,0,0,0,0,8,213,4,8,215,4,218,236,1,,256,246,1,,5,1,,,2,1,,
